"","PlayerName","pos","points","value"
"1","Marshawn Lynch","rb",213.36,69.1173676373927
"2","Adrian Peterson","rb",210.01,66.9803271655322
"3","Eddie Lacy","rb",209.26,66.501885268847
"4","Jamaal Charles","rb",208.47,65.9979264710053
"5","Andrew Luck","qb",326.47,54.3379784875228
"6","C.J. Anderson","rb",189.915,54.1612739470137
"7","Le'Veon Bell","rb",189.57,53.9411906745385
"8","Matt Forte","rb",185.745,51.501137001444
"9","Aaron Rodgers","qb",321.682,51.2836054190845
"10","LeSean McCoy","rb",183.91,50.3305491608876
"11","DeMarco Murray","rb",182.375,49.3513380790052
"12","Jeremy Hill","rb",182.25,49.271597762891
"13","Demaryius Thomas","wr",137.72,46.9240428564891
"14","Antonio Brown","wr",135.21,45.3228573089159
"15","Dez Bryant","wr",132.98,43.9002900694387
"16","Odell Beckham Jr.","wr",130.93,42.5925488851658
"17","Rob Gronkowski","te",112.21,40.5097318282629
"18","Calvin Johnson","wr",125.17,38.9181151186235
"19","Randall Cobb","wr",124.865,38.7235487473049
"20","Russell Wilson","qb",300.048,37.482789428568
"21","Mark Ingram","rb",162.255,36.5163367972639
"22","Lamar Miller","rb",162.125,36.4334068685051
"23","Justin Forsett","rb",161.735,36.1846170822288
"24","Peyton Manning","qb",297.986,36.1673931739482
"25","Julio Jones","wr",118.555,34.6982575898602
"26","Alfred Morris","rb",158.585,34.175161116151
"27","Drew Brees","qb",294.826,34.1515579825812
"28","Alshon Jeffery","wr",112.075,30.5645196025001
"29","Melvin Gordon","rb",152.57,30.3380571047358
"30","A.J. Green","wr",111.55,30.2296102748205
"31","Carlos Hyde","rb",152.015,29.9840101011888
"32","Frank Gore","rb",150.675,29.1291939124446
"33","Mike Evans","wr",107.635,27.7321435741238
"34","Latavius Murray","rb",148.11,27.4929226257812
"35","Jimmy Graham","te",91.755,27.4610264993355
"36","Matt Ryan","qb",282.788,26.4722465795195
"37","Emmanuel Sanders","wr",103.485,25.0847650791324
"38","T.Y. Hilton","wr",103.435,25.0528689526868
"39","Joseph Randle","rb",139.68,22.1152357070397
"40","Brandin Cooks","wr",95.55,20.0228498122031
"41","Cam Newton","qb",272.67,20.0177464319718
"42","Jonathan Stewart","rb",135.39,19.3785480580004
"43","LeGarrette Blount","rb",134.745,18.9670880268512
"44","Jordan Matthews","wr",93.315,18.5970929600813
"45","T.J. Yeldon","rb",133.595,18.2334771186005
"46","Tony Romo","qb",268.212,17.173887798075
"47","Ben Roethlisberger","qb",268,17.0386482219454
"48","Greg Olsen","te",75.315,16.9735801239962
"49","Stephen Gostkowski","k",165.7,16.7566864641656
"50","Travis Kelce","te",74.845,16.6737565354068
"51","DeAndre Hopkins","wr",90.15,16.5780681560698
"52","Julian Edelman","wr",89.445,16.1283327731857
"53","Matthew Stafford","qb",266.244,15.9184562611731
"54","Andre Johnson","wr",88.02,15.2192931694838
"55","Andre Ellington","rb",127.88,14.5877498658594
"56","Martellus Bennett","te",71.435,14.4984407118115
"57","Jason Witten","te",71.415,14.4856822612332
"58","DeSean Jackson","wr",86.41,14.192237897933
"59","Ryan Tannehill","qb",263,13.8490355773774
"60","Davante Adams","wr",85.49,13.6053491713325
"61","Justin Tucker","k",160.5,13.4394893138149
"62","Sammy Watkins","wr",84.965,13.2704398436528
"63","Rashad Jennings","rb",125.505,13.0726838596896
"64","Golden Tate","wr",83.85,12.5591562239142
"65","Steven Hauschka","k",158.8,12.3550210146618
"66","Jeremy Maclin","wr",83.045,12.0456285881387
"67","Keenan Allen","wr",82.7,11.8255453156636
"68","Brandon Marshall","wr",82.355,11.6054620431884
"69","Joique Bell","rb",122.99,11.4683086994719
"70","Todd Gurley","rb",122.945,11.4396021856708
"71","Christopher Ivory","rb",122.84,11.3726203201349
"72","Julius Thomas","te",66.2,11.1589162729489
"73","Martavis Bryant","wr",81.55,11.0919344074129
"74","Cody Parkey","k",156.8,11.0791759568347
"75","Connor Barth","k",156.7,11.0153837039433
"76","Philip Rivers","qb",258.422,10.9286262400111
"77","Mason Crosby","k",156.4,10.8240069452692
"78","Arian Foster","rb",121.12,10.2753935704035
"79","Isaiah Crowell","rb",120.97,10.1797051910665
"80","Dwayne Allen","te",63.56,9.47480079661699
"81","Adam Vinatieri","k",154.2,9.42057738165933
"82","Tevin Coleman","rb",117.995,8.28188566754859
"83","Zach Ertz","te",61.41,8.10326735945278
"84","Mike Wallace","wr",76.835,8.08412968358536
"85","Vincent Jackson","wr",76.805,8.06499200771797
"86","Eli Manning","qb",253.8,7.98014831137244
"87","Amari Cooper","wr",76.005,7.5546539845871
"88","Eric Decker","wr",74.78,6.77319888666795
"89","Matt Bryant","k",150,6.74130276022227
"90","Colin Kaepernick","qb",251.786,6.69537233814049
"91","Roddy White","wr",74.515,6.60414941650585
"92","Jarvis Landry","wr",74.34,6.49251297394597
"93","Dan Bailey","k",149.6,6.48613374865683
"94","Michael Floyd","wr",74.235,6.42553110841005
"95","Steve Smith","wr",73.375,5.87691773354436
"96","Nelson Agholor","wr",73.065,5.67916174958115
"97","Coby Fleener","te",57.57,5.65364484842461
"98","Chandler Catanzaro","k",148.2,5.59304220817781
"99","Charles Johnson","wr",72.705,5.44950963917227
"100","Jordan Cameron","te",57.25,5.44950963917226
"101","Allen Robinson","wr",72.68,5.43356157594942
"102","Brandon LaFell","wr",72.495,5.31554590810041
"103","Antonio Gates","te",57,5.29002900694387
"104","Delanie Walker","te",56.99,5.28364978165473
"105","Garrett Hartley","k",147.5,5.14649643793831
"106","Kyle Rudolph","te",56.555,5.00615348157732
"107","John Brown","wr",71.89,4.92960277810769
"108","Dan Carpenter","k",146.9,4.76374292059014
"109","Owen Daniels","te",56.005,4.65529609067485
"110","Torrey Smith","wr",71.35,4.58512461249436
"111","Anquan Boldin","wr",71.195,4.48624662051275
"112","Terrance Williams","wr",70.705,4.17366458134509
"113","Larry Fitzgerald","wr",69.455,3.3762614202031
"114","Marques Colston","wr",69.37,3.32203800524545
"115","Josh Brown","k",143.4,2.53101406939259
"116","Devin Funchess","wr",68.105,2.51506600616977
"117","Joe Flacco","qb",244.362,1.95943548348603
"118","Victor Cruz","wr",66.735,1.64111214155815
"119","Dustin Hopkins","k",142,1.63792252891359
"120","Blair Walsh","k",141.6,1.38275351734815
"121","Giovani Bernard","rb",107.07,1.31258203916766
"122","Breshad Perriman","wr",66.055,1.20732482189692
"123","Malcom Floyd","wr",65.925,1.12439489313814
"124","Jay Cutler","qb",242.858,1
"125","Phil Dawson","k",141,1
"126","Ameer Abdullah","rb",106.58,1
"127","Doug Baldwin","wr",65.73,1
"128","Heath Miller","te",50.275,1
